horizon,regime,algo,fold,purge,n_train,n_test,n_would_purge,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,CALM,CatBoost,4,False,1817,264,0,0.309,0.5682,0.5673,0.2826,0.4494
1,CALM,CatBoost,4,True,1817,264,0,0.309,0.5682,0.5673,0.2826,0.4494
1,NORMAL,XGBoost,0,False,868,319,0,0.254,0.5455,0.5366,0.3063,0.5165
1,NORMAL,XGBoost,0,True,868,319,0,0.254,0.5455,0.5366,0.3063,0.5165
1,NORMAL,LightGBM,0,False,868,319,0,0.3031,0.558,0.5418,0.3238,0.5281
1,NORMAL,LightGBM,0,True,868,319,0,0.3031,0.558,0.5418,0.3238,0.5281
1,NORMAL,RandomForest,0,False,868,319,0,0.2995,0.5455,0.5288,0.3704,0.5464
1,NORMAL,RandomForest,0,True,868,319,0,0.2995,0.5455,0.5288,0.3704,0.5464
1,NORMAL,GradientBoosting,0,False,868,319,0,0.2432,0.5172,0.5083,0.2545,0.5
1,NORMAL,GradientBoosting,0,True,868,319,0,0.2432,0.5172,0.5083,0.2545,0.5
1,NORMAL,CatBoost,0,False,868,319,0,0.3109,0.5392,0.5276,0.367,0.5464
1,NORMAL,CatBoost,0,True,868,319,0,0.3109,0.5392,0.5276,0.367,0.5464
1,NORMAL,XGBoost,1,False,1123,155,0,0.2264,0.4968,0.4301,0.2807,0.6942
1,NORMAL,XGBoost,1,True,1123,155,0,0.2264,0.4968,0.4301,0.2807,0.6942
1,NORMAL,LightGBM,1,False,1123,155,0,0.2473,0.4903,0.4363,0.2857,0.6325
1,NORMAL,LightGBM,1,True,1123,155,0,0.2473,0.4903,0.4363,0.2857,0.6325
1,NORMAL,RandomForest,1,False,1123,155,0,0.2384,0.5419,0.4246,0.1509,0.8143
1,NORMAL,RandomForest,1,True,1123,155,0,0.2384,0.5419,0.4246,0.1509,0.8143
1,NORMAL,GradientBoosting,1,False,1123,155,0,0.2226,0.4903,0.4411,0.2712,0.6441
1,NORMAL,GradientBoosting,1,True,1123,155,0,0.2226,0.4903,0.4411,0.2712,0.6441
1,NORMAL,CatBoost,1,False,1123,155,0,0.2569,0.529,0.4693,0.25,0.7344
1,NORMAL,CatBoost,1,True,1123,155,0,0.2569,0.529,0.4693,0.25,0.7344
1,NORMAL,XGBoost,2,False,1390,213,0,0.2748,0.5164,0.4906,0.5128,0.6081
1,NORMAL,XGBoost,2,True,1390,213,0,0.2748,0.5164,0.4906,0.5128,0.6081
1,NORMAL,LightGBM,2,False,1390,213,0,0.3229,0.5258,0.5102,0.4878,0.6029
1,NORMAL,LightGBM,2,True,1390,213,0,0.3229,0.5258,0.5102,0.4878,0.6029
1,NORMAL,RandomForest,2,False,1390,213,0,0.3024,0.5822,0.5174,0.2899,0.6708
1,NORMAL,RandomForest,2,True,1390,213,0,0.3024,0.5822,0.5174,0.2899,0.6708
1,NORMAL,GradientBoosting,2,False,1390,213,0,0.2841,0.493,0.4805,0.5063,0.5507
1,NORMAL,GradientBoosting,2,True,1390,213,0,0.2841,0.493,0.4805,0.5063,0.5507
1,NORMAL,CatBoost,2,False,1390,213,0,0.2746,0.5164,0.4777,0.3836,0.6081
1,NORMAL,CatBoost,2,True,1390,213,0,0.2746,0.5164,0.4777,0.3836,0.6081
1,NORMAL,XGBoost,3,False,1656,267,0,0.2872,0.5655,0.5604,0.3119,0.5263
1,NORMAL,XGBoost,3,True,1656,267,0,0.2872,0.5655,0.5604,0.3119,0.5263
1,NORMAL,LightGBM,3,False,1656,267,0,0.3027,0.5768,0.5744,0.2982,0.5741
1,NORMAL,LightGBM,3,True,1656,267,0,0.3027,0.5768,0.5744,0.2982,0.5741
1,NORMAL,RandomForest,3,False,1656,267,0,0.2754,0.5655,0.5633,0.2353,0.569
1,NORMAL,RandomForest,3,True,1656,267,0,0.2754,0.5655,0.5633,0.2353,0.569
1,NORMAL,GradientBoosting,3,False,1656,267,0,0.2606,0.5581,0.5563,0.3063,0.4299
1,NORMAL,GradientBoosting,3,True,1656,267,0,0.2606,0.5581,0.5563,0.3063,0.4299
1,NORMAL,CatBoost,3,False,1656,267,0,0.281,0.5693,0.5673,0.283,0.5357
1,NORMAL,CatBoost,3,True,1656,267,0,0.281,0.5693,0.5673,0.283,0.5357
1,NORMAL,XGBoost,4,False,1926,416,1,0.277,0.5553,0.5262,0.3972,0.547
1,NORMAL,XGBoost,4,True,1925,416,1,0.2846,0.5673,0.5348,0.3623,0.5823
1,NORMAL,LightGBM,4,False,1926,416,1,0.2877,0.5529,0.5348,0.4167,0.4673
1,NORMAL,LightGBM,4,True,1925,416,1,0.2986,0.5505,0.5268,0.365,0.5551
1,NORMAL,RandomForest,4,False,1926,416,1,0.2821,0.5817,0.5192,0.2969,0.5961
1,NORMAL,RandomForest,4,True,1925,416,1,0.2657,0.601,0.5232,0.1849,0.6189
1,NORMAL,GradientBoosting,4,False,1926,416,1,0.3042,0.5649,0.543,0.411,0.5158
1,NORMAL,GradientBoosting,4,True,1925,416,1,0.2509,0.5288,0.5035,0.3043,0.5439
1,NORMAL,CatBoost,4,False,1926,416,1,0.2909,0.5673,0.5348,0.4143,0.5232
1,NORMAL,CatBoost,4,True,1925,416,1,0.2845,0.5865,0.5462,0.3284,0.584
1,STRESS,XGBoost,0,False,846,115,1,0.296,0.6174,0.6042,0.3333,0.5143
1,STRESS,XGBoost,0,True,845,115,1,0.2243,0.5217,0.5068,0.2222,0.3729
1,STRESS,LightGBM,0,False,846,115,1,0.2922,0.5565,0.5427,0.3429,0.5075
1,STRESS,LightGBM,0,True,845,115,1,0.2539,0.5304,0.5223,0.2778,0.4
1,STRESS,RandomForest,0,False,846,115,1,0.2915,0.6,0.5833,0.1875,0.5507
1,STRESS,RandomForest,0,True,845,115,1,0.3141,0.6174,0.6067,0.3784,0.4615
1,STRESS,GradientBoosting,0,False,846,115,1,0.2795,0.5913,0.5758,0.2857,0.4444
