horizon,regime,fold,N,sampler,algo,n_train,n_test,test_start,test_end,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,1,8,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2386,0.5066,0.4971,0.289,0.4444
1,GLOBAL,1,8,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2553,0.5251,0.5197,0.29,0.4573
1,GLOBAL,1,8,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2517,0.5106,0.5017,0.3249,0.4394
1,GLOBAL,1,8,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.257,0.5185,0.5108,0.3395,0.4565
1,GLOBAL,1,8,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,9,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.3111,0.5646,0.5602,0.3285,0.5464
1,GLOBAL,1,9,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2803,0.5369,0.5313,0.3026,0.4934
1,GLOBAL,1,9,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3185,0.5686,0.5581,0.2651,0.5877
1,GLOBAL,1,9,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2929,0.5369,0.5305,0.3488,0.5052
1,GLOBAL,1,9,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,9,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2916,0.5343,0.5272,0.2966,0.532
1,GLOBAL,1,9,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.291,0.5567,0.5512,0.306,0.4908
1,GLOBAL,1,9,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.3193,0.5752,0.5564,0.3113,0.5748
1,GLOBAL,1,9,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2981,0.5449,0.536,0.306,0.5104
1,GLOBAL,1,9,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,9,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.3006,0.5475,0.5168,0.3182,0.5146
1,GLOBAL,1,9,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2989,0.5383,0.5325,0.3321,0.5144
1,GLOBAL,1,9,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.3191,0.5699,0.5488,0.264,0.6037
1,GLOBAL,1,9,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.3004,0.5501,0.5266,0.3406,0.5185
1,GLOBAL,1,9,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,9,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.3069,0.558,0.555,0.3682,0.5139
1,GLOBAL,1,9,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.3039,0.5686,0.5628,0.3546,0.5367
1,GLOBAL,1,9,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.3005,0.558,0.5398,0.2407,0.6005
1,GLOBAL,1,9,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2922,0.5383,0.5368,0.3706,0.4595
1,GLOBAL,1,9,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
