horizon,regime,algo,fold,pool_variant,n_train,n_test,n_ohlc_selected,selected_features,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,NORMAL,XGBoost,1,BASE_PLUS_OHLC,1123,155,0,"[""vix_zscore_10d__zrel__EWC_zscore_60d"", ""AXP_ret_1d"", ""GILD_ret_5d"", ""EWD_ret_1d"", ""FRED_STLFSI_ret_1d"", ""HUM_ret_1d"", ""CSCO_ret_5d"", ""IDX_VIX_zscore_60d""]",0.2764,0.5226,0.4696,0.3158,0.6721
1,NORMAL,RandomForest,2,BASE,1390,213,0,"[""IDX_VIX_zscore_60d"", ""HUM_ret_5d"", ""FRED_STLFSI_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""BA_ret_20d"", ""MET_zscore_60d"", ""PLD_ret_5d"", ""heston_var_ev_h1__minus__ASML_ret_20d""]",0.3024,0.5822,0.5174,0.2899,0.6708
1,NORMAL,RandomForest,2,BASE_PLUS_OHLC,1390,213,1,"[""ohlc_vix_yz_10d"", ""IDX_VIX_zscore_60d"", ""PLD_ret_5d"", ""HUM_ret_5d"", ""MET_zscore_60d"", ""heston_var_ev_h1__minus__ASML_ret_20d"", ""FRED_STLFSI_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d""]",0.3054,0.6197,0.5457,0.3284,0.7514
1,NORMAL,XGBoost,2,BASE,1390,213,0,"[""IDX_VIX_zscore_60d"", ""HUM_ret_5d"", ""FRED_STLFSI_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""BA_ret_20d"", ""MET_zscore_60d"", ""PLD_ret_5d"", ""heston_var_ev_h1__minus__ASML_ret_20d""]",0.2748,0.5164,0.4906,0.5128,0.6081
1,NORMAL,XGBoost,2,BASE_PLUS_OHLC,1390,213,1,"[""ohlc_vix_yz_10d"", ""IDX_VIX_zscore_60d"", ""PLD_ret_5d"", ""HUM_ret_5d"", ""MET_zscore_60d"", ""heston_var_ev_h1__minus__ASML_ret_20d"", ""FRED_STLFSI_ret_1d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d""]",0.2689,0.5587,0.5069,0.3662,0.6747
1,NORMAL,RandomForest,3,BASE,1656,267,0,"[""FRED_NFCI_ret_5d"", ""FRED_STLFSI_ret_1d"", ""vix_vs_ma10__zrel__HD_vol_20d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""PLD_ret_5d"", ""heston_var_ev_h1__minus__ASML_ret_20d"", ""spike_skew_level"", ""UL_ret_1d""]",0.2754,0.5655,0.5633,0.2353,0.569
1,NORMAL,RandomForest,3,BASE_PLUS_OHLC,1656,267,1,"[""ohlc_vix_yz_10d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""FRED_STLFSI_ret_1d"", ""PLD_ret_5d"", ""heston_var_ev_h1__minus__ASML_ret_20d"", ""FRED_NFCI_ret_5d"", ""egarch_delta"", ""vix_vs_ma10__zrel__HD_vol_20d""]",0.2888,0.5768,0.5766,0.2667,0.5098
1,NORMAL,XGBoost,3,BASE,1656,267,0,"[""FRED_NFCI_ret_5d"", ""FRED_STLFSI_ret_1d"", ""vix_vs_ma10__zrel__HD_vol_20d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""PLD_ret_5d"", ""heston_var_ev_h1__minus__ASML_ret_20d"", ""spike_skew_level"", ""UL_ret_1d""]",0.2872,0.5655,0.5604,0.3119,0.5263
1,NORMAL,XGBoost,3,BASE_PLUS_OHLC,1656,267,1,"[""ohlc_vix_yz_10d"", ""IDX_VIX_zscore_60d__minus__FRED_NFCI_ret_5d"", ""FRED_STLFSI_ret_1d"", ""PLD_ret_5d"", ""heston_var_ev_h1__minus__ASML_ret_20d"", ""FRED_NFCI_ret_5d"", ""egarch_delta"", ""vix_vs_ma10__zrel__HD_vol_20d""]",0.3094,0.5356,0.5345,0.3667,0.4819
1,NORMAL,RandomForest,4,BASE,1926,416,0,"[""IDX_VIX_zscore_60d"", ""FRED_STLFSI_ret_1d"", ""P_stress_HMM"", ""EWC_ret_1d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_5d"", ""HUM_ret_5d"", ""LUV_ret_1d""]",0.2821,0.5817,0.5192,0.2969,0.5961
1,NORMAL,RandomForest,4,BASE_PLUS_OHLC,1926,416,1,"[""IDX_VIX_zscore_60d"", ""FRED_STLFSI_ret_1d"", ""UL_ret_1d"", ""ohlc_vix_yz_10d"", ""P_stress_HMM"", ""FRED_NFCI_ret_5d"", ""vix_zscore_20d"", ""EWC_ret_1d""]",0.2927,0.613,0.5226,0.1864,0.6691
1,NORMAL,XGBoost,4,BASE,1926,416,0,"[""IDX_VIX_zscore_60d"", ""FRED_STLFSI_ret_1d"", ""P_stress_HMM"", ""EWC_ret_1d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_5d"", ""HUM_ret_5d"", ""LUV_ret_1d""]",0.277,0.5553,0.5262,0.3972,0.547
1,NORMAL,XGBoost,4,BASE_PLUS_OHLC,1926,416,1,"[""IDX_VIX_zscore_60d"", ""FRED_STLFSI_ret_1d"", ""UL_ret_1d"", ""ohlc_vix_yz_10d"", ""P_stress_HMM"", ""FRED_NFCI_ret_5d"", ""vix_zscore_20d"", ""EWC_ret_1d""]",0.3044,0.5938,0.5393,0.3485,0.6388
1,STRESS,RandomForest,0,BASE,846,115,0,"[""GIS_ret_1d"", ""AMD_ret_1d"", ""COST_ret_1d"", ""FRED_EFFR_ret_1d"", ""CPB_ret_1d"", ""AXP_ret_5d"", ""vix_vol_of_vol_5d"", ""NVDA_ret_5d""]",0.2915,0.6,0.5833,0.1875,0.5507
1,STRESS,RandomForest,0,BASE_PLUS_OHLC,846,115,0,"[""GIS_ret_1d"", ""AMD_ret_1d"", ""PG_ret_1d"", ""vix_vol_of_vol_5d"", ""NVDA_ret_5d"", ""COST_ret_1d"", ""CPB_ret_1d"", ""BLK_ret_5d""]",0.2266,0.5304,0.503,0.0645,0.5405
1,STRESS,XGBoost,0,BASE,846,115,0,"[""GIS_ret_1d"", ""AMD_ret_1d"", ""COST_ret_1d"", ""FRED_EFFR_ret_1d"", ""CPB_ret_1d"", ""AXP_ret_5d"", ""vix_vol_of_vol_5d"", ""NVDA_ret_5d""]",0.296,0.6174,0.6042,0.3333,0.5143
1,STRESS,XGBoost,0,BASE_PLUS_OHLC,846,115,0,"[""GIS_ret_1d"", ""AMD_ret_1d"", ""PG_ret_1d"", ""vix_vol_of_vol_5d"", ""NVDA_ret_5d"", ""COST_ret_1d"", ""CPB_ret_1d"", ""BLK_ret_5d""]",0.2765,0.6,0.5888,0.2778,0.381
1,STRESS,RandomForest,1,BASE,1105,43,0,"[""GIS_ret_1d"", ""AMGN_ret_1d"", ""PG_ret_1d"", ""DIS_ret_1d"", ""BA_ret_5d"", ""ASML_zscore_60d"", ""CPB_ret_1d"", ""LUV_ret_1d""]",0.2344,0.5581,0.5494,0.5263,0.3448
1,STRESS,RandomForest,1,BASE_PLUS_OHLC,1105,43,0,"[""GIS_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""BA_ret_1d"", ""AMGN_ret_1d"", ""CPB_ret_1d"", ""BA_ret_5d"", ""DIS_ret_1d"", ""LUV_ret_1d""]",0.2455,0.5581,0.4643,0.2857,0.75
1,STRESS,XGBoost,1,BASE,1105,43,0,"[""GIS_ret_1d"", ""AMGN_ret_1d"", ""PG_ret_1d"", ""DIS_ret_1d"", ""BA_ret_5d"", ""ASML_zscore_60d"", ""CPB_ret_1d"", ""LUV_ret_1d""]",0.1961,0.4186,0.3978,0.4,0.3448
1,STRESS,XGBoost,1,BASE_PLUS_OHLC,1105,43,0,"[""GIS_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""BA_ret_1d"", ""AMGN_ret_1d"", ""CPB_ret_1d"", ""BA_ret_5d"", ""DIS_ret_1d"", ""LUV_ret_1d""]",0.2595,0.4884,0.4369,0.4,0.5882
1,STRESS,RandomForest,2,BASE,1359,45,0,"[""BA_ret_1d"", ""PG_ret_1d"", ""FRED_NFCI_ret_1d"", ""SCHW_ret_1d"", ""PTC_ret_20d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""CPB_ret_1d"", ""LOGI_zscore_60d""]",0.2518,0.5778,0.4452,0.25,0.7907
1,STRESS,RandomForest,2,BASE_PLUS_OHLC,1359,45,0,"[""BA_ret_1d"", ""FRED_NFCI_ret_1d"", ""PG_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""CMCSA_ret_5d"", ""SCHW_ret_1d"", ""NVDA_ret_5d"", ""GIS_ret_1d""]",0.1543,0.5111,0.375,0.1333,0.6977
1,STRESS,XGBoost,2,BASE,1359,45,0,"[""BA_ret_1d"", ""PG_ret_1d"", ""FRED_NFCI_ret_1d"", ""SCHW_ret_1d"", ""PTC_ret_20d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""CPB_ret_1d"", ""LOGI_zscore_60d""]",0.3697,0.6222,0.5676,0.4211,0.75
1,STRESS,XGBoost,2,BASE_PLUS_OHLC,1359,45,0,"[""BA_ret_1d"", ""FRED_NFCI_ret_1d"", ""PG_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""CMCSA_ret_5d"", ""SCHW_ret_1d"", ""NVDA_ret_5d"", ""GIS_ret_1d""]",0.2629,0.5556,0.3984,0.1333,0.7907
