horizon,regime,algo,fold,n_train,n_fit,n_val,n_test,best_thr,val_score,RAW_F1_4cls,RAW_Acc_dir,RAW_F1_dir,RAW_F1_UP_FORT,RAW_F1_DOWN_FORT,CAL_F1_4cls,CAL_Acc_dir,CAL_F1_dir,CAL_F1_UP_FORT,CAL_F1_DOWN_FORT
2,CALM,XGBoost,0,866,693,173,341,0.3,0.6388,0.292,0.5484,0.5484,0.3087,0.4516,0.1905,0.5103,0.4861,0.618,0.4961
2,CALM,RandomForest,1,1122,898,224,599,0.3,0.5793,0.2919,0.5659,0.5637,0.3176,0.5956,0.2253,0.5643,0.5643,0.5488,0.6866
2,CALM,XGBoost,1,1122,898,224,599,0.3,0.5668,0.2875,0.5643,0.564,0.3621,0.5232,0.1992,0.5359,0.5322,0.5072,0.5818
2,CALM,RandomForest,2,1386,1109,277,537,0.45,0.6618,0.331,0.6034,0.6033,0.3654,0.6115,0.2631,0.5922,0.5798,0.614,0.5725
2,CALM,XGBoost,2,1386,1109,277,537,0.3,0.6559,0.3262,0.5978,0.5978,0.4435,0.5379,0.2128,0.568,0.5432,0.6292,0.5105
2,CALM,RandomForest,4,1907,1526,381,287,0.35,0.6398,0.2554,0.5157,0.5128,0.2041,0.5763,0.231,0.5226,0.5224,0.4412,0.5891
2,CALM,XGBoost,4,1907,1526,381,287,0.35,0.635,0.2647,0.5157,0.5123,0.2316,0.5357,0.2439,0.5226,0.5215,0.3967,0.6043
2,NORMAL,RandomForest,0,909,728,181,333,0.35,0.4589,0.2785,0.5526,0.4977,0.2588,0.6087,0.2815,0.5736,0.5453,0.4324,0.5689
2,NORMAL,XGBoost,0,909,728,181,333,0.3,0.5041,0.2794,0.5435,0.5148,0.2917,0.5517,0.1961,0.5526,0.5237,0.3761,0.5975
2,NORMAL,RandomForest,1,1177,942,235,159,0.3,0.5477,0.1875,0.478,0.4658,0.4928,0.56,0.2051,0.5535,0.5045,0.3871,0.7172
2,NORMAL,XGBoost,1,1177,942,235,159,0.4,0.5874,0.2368,0.5597,0.5534,0.5789,0.592,0.2124,0.5849,0.5237,0.3607,0.755
2,NORMAL,RandomForest,2,1453,1163,290,218,0.35,0.4118,0.2482,0.5367,0.4281,0.1194,0.8087,0.168,0.5642,0.3879,0.0312,0.8406
2,NORMAL,XGBoost,2,1453,1163,290,218,0.35,0.4686,0.316,0.5505,0.5233,0.4368,0.7453,0.2387,0.5642,0.4621,0.2368,0.8351
2,NORMAL,RandomForest,3,1731,1385,346,278,0.45,0.5339,0.3719,0.6079,0.6052,0.2569,0.6076,0.352,0.6115,0.6099,0.4143,0.5918
2,NORMAL,XGBoost,3,1731,1385,346,278,0.35,0.5079,0.33,0.5576,0.5456,0.381,0.4848,0.2303,0.5899,0.5882,0.5281,0.5766
2,NORMAL,RandomForest,4,2008,1607,401,428,0.3,0.6045,0.2503,0.5514,0.5058,0.1043,0.6444,0.2119,0.5561,0.5078,0.3355,0.6757
2,NORMAL,XGBoost,4,2008,1607,401,428,0.35,0.6082,0.2687,0.5467,0.5052,0.2047,0.5485,0.251,0.5678,0.5246,0.3766,0.6549
2,STRESS,RandomForest,0,875,700,175,120,0.5,0.5154,0.2468,0.4917,0.4756,0.3256,0.5429,0.227,0.525,0.4808,0.3333,0.5526
2,STRESS,XGBoost,0,875,700,175,120,0.3,0.4546,0.2165,0.5,0.4754,0.383,0.4857,0.2567,0.55,0.4938,0.4167,0.5455
2,STRESS,RandomForest,1,1145,916,229,48,0.45,0.6063,0.2312,0.5417,0.5209,0.5556,0.7317,0.2224,0.5208,0.4521,0.5333,0.7273
2,STRESS,XGBoost,1,1145,916,229,48,0.5,0.6084,0.2559,0.6042,0.5956,0.6,0.7,0.2646,0.5208,0.469,0.375,0.7
2,STRESS,RandomForest,2,1411,1129,282,47,0.3,0.4748,0.1642,0.5957,0.4175,0.0,0.8302,0.1781,0.6809,0.4051,0.0,0.8966
2,STRESS,XGBoost,2,1411,1129,282,47,0.35,0.4637,0.1758,0.5532,0.4278,0.1333,0.76,0.2964,0.7447,0.6189,0.4444,0.9123
2,STRESS,RandomForest,3,1676,1341,335,529,0.35,0.5716,0.2756,0.5274,0.5149,0.2911,0.4585,0.2456,0.5558,0.4915,0.3394,0.5481
2,STRESS,XGBoost,3,1676,1341,335,529,0.4,0.5499,0.2944,0.5501,0.5387,0.4581,0.3544,0.2632,0.603,0.5463,0.4022,0.5326
2,STRESS,RandomForest,4,1944,1556,388,86,0.3,0.3319,0.2215,0.5465,0.5232,0.5263,0.6761,0.156,0.6512,0.3944,0.0,0.8211
2,STRESS,XGBoost,4,1944,1556,388,86,0.3,0.3536,0.2454,0.5581,0.5423,0.6154,0.5758,0.156,0.6512,0.3944,0.0,0.8211
3,GLOBAL,RandomForest,0,2686,2149,537,813,0.3,0.5773,0.3057,0.5744,0.5729,0.3071,0.6405,0.2646,0.5646,0.5533,0.4853,0.6917
3,GLOBAL,XGBoost,0,2686,2149,537,813,0.35,0.544,0.3081,0.556,0.5554,0.3856,0.5761,0.2614,0.5732,0.564,0.4767,0.657
3,GLOBAL,RandomForest,1,3499,2800,699,811,0.4,0.6369,0.3043,0.5956,0.5955,0.3503,0.6512,0.2434,0.5968,0.5958,0.5495,0.6933
3,GLOBAL,XGBoost,1,3499,2800,699,811,0.3,0.6528,0.3229,0.5832,0.5832,0.4507,0.611,0.2386,0.5931,0.5918,0.5479,0.6991
3,GLOBAL,RandomForest,2,4310,3448,862,808,0.35,0.6328,0.3009,0.5792,0.5791,0.3048,0.6285,0.2236,0.5532,0.5426,0.4603,0.6916
3,GLOBAL,XGBoost,2,4310,3448,862,808,0.35,0.6335,0.3237,0.5953,0.5953,0.4592,0.6293,0.2225,0.552,0.5332,0.3708,0.6968
3,GLOBAL,RandomForest,3,5118,4095,1023,809,0.35,0.5929,0.3223,0.5797,0.5786,0.3912,0.5348,0.2167,0.5723,0.5638,0.4847,0.5732
3,GLOBAL,XGBoost,3,5118,4095,1023,809,0.3,0.5922,0.3273,0.5686,0.565,0.451,0.5399,0.2134,0.5748,0.5672,0.5373,0.583
3,GLOBAL,RandomForest,4,5927,4742,1185,802,0.4,0.5332,0.3207,0.6047,0.602,0.2069,0.6444,0.2487,0.5823,0.5493,0.3259,0.6602
3,GLOBAL,XGBoost,4,5927,4742,1185,802,0.35,0.5437,0.3063,0.586,0.5834,0.1833,0.6311,0.226,0.5636,0.5321,0.3602,0.6641
3,CALM,RandomForest,0,888,711,177,356,0.45,0.704,0.2938,0.5281,0.517,0.3799,0.5191,0.2195,0.5534,0.5072,0.5909,0.4655
3,CALM,XGBoost,0,888,711,177,356,0.3,0.7056,0.2659,0.5253,0.5089,0.4388,0.4174,0.1947,0.5702,0.5202,0.6496,0.4228
3,CALM,RandomForest,1,1161,929,232,606,0.35,0.6251,0.3347,0.5875,0.5872,0.4094,0.5741,0.2271,0.5479,0.5398,0.5889,0.5333
3,CALM,XGBoost,1,1161,929,232,606,0.35,0.6646,0.3061,0.5561,0.556,0.4091,0.4706,0.2189,0.5396,0.5379,0.5625,0.5731
